"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-07-20","SKC","0","1.2864","1.2864","FCD","2","1.2851","1.2851","-2","0.0013","0.0013","-2","1.357","1.381"
"2019-07-20","TOR","1","2.0341","2.1265","HOU","3","1.2557","1.2557","-2","0.7783","0.8708","-2","1.926","0.831"
"2019-07-20","PHI","2","1.1256","1.1283","CHI","0","0.7418","0.7439","2","0.3838","0.3844","2","1.647","1.053"
"2019-07-20","CLB","2","1.0528","1.0528","MTL","1","1.0731","1.204","1","-0.0203","-0.1511","1","1.302","1.398"
"2019-07-19","LAG","3","0.9706","1.0013","LAFC","2","2.2095","2.2095","1","-1.2388","-1.2081","1","0.558","2.25"
"2019-07-18","POR","1","1.8984","1.9011","ORL","1","0.2191","0.2191","0","1.6793","1.682","0","2.587","0.259"
"2019-07-18","CIN","1","1.3316","1.3688","DCU","4","1.4444","1.4458","-3","-0.1128","-0.0769","-3","1.261","1.438"
"2019-07-17","CHI","2","1.5599","1.5711","CLB","2","0.9095","0.9147","0","0.6504","0.6564","0","1.848","0.894"
"2019-07-17","TOR","3","2.0966","2.0966","NYRB","1","2.2934","2.2989","2","-0.1968","-0.2023","2","1.26","1.494"
"2019-07-17","NER","4","2.8872","2.9546","VAN","0","1.2178","1.2178","4","1.6694","1.7367","4","2.426","0.428"
"2019-07-17","ATL","5","2.7306","2.7306","HOU","0","0.1671","0.1671","5","2.5636","2.5636","5","2.873","0.074"
"2019-07-14","NYRB","2","1.5929","1.6706","NYC","1","0.917","0.917","1","0.676","0.7536","1","1.955","0.77"
"2019-07-14","SEA","2","3.093","3.093","ATL","1","0.9151","0.9151","1","2.1779","2.1779","1","2.635","0.259"
"2019-07-13","POR","1","1.585","1.585","COL","2","1.6407","1.7718","-1","-0.0557","-0.1868","0","1.332","1.404"
"2019-07-13","VAN","0","0.7174","0.7174","SKC","2","2.2849","2.3095","-2","-1.5675","-1.5921","-3","0.457","2.389"
"2019-07-13","RSL","4","1.4818","1.4818","PHI","0","0.1555","0.1555","4","1.3263","1.3263","4","2.509","0.286"
