"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Dominic Oduro","TOR","2014","1625","3","3","1","0.4756","0.675","0.5244","1","0","0.4789","-0.4789","0.9545","0.8481","0.4229"
"Gilberto","TOR","2014","2116","2","2","1","0.8274","0.6071","0.1726","1","0","0.1098","-0.1098","0.9371","1.2256","0.881"
"Ignacio Piatti","MTL","2014","475","2","2","2","0.8552","0.7724","1.1448","1","0","0.0684","-0.0684","0.9235","1.3304","0.5748"
"Lamar Neagle","SEA","2014","2364","2","0","0","0.1762","-0.1762","-0.1762","3","2","0.7045","1.2955","0.8807","0","0.1181"
"Felipe","MTL","2014","2597","0","0","0","0","0","0","2","1","0.8578","0.1422","0.8578","0","0"
"Nicolás Mezquida","VAN","2014","492","1","1","1","0.5311","0.2435","0.4689","1","0","0.2991","-0.2991","0.8302","0.5","0.2656"
"Juninho Pereira","LAG","2014","2940","1","0","0","0.2353","-0.2353","-0.2353","2","1","0.5853","0.4147","0.8205","0","0.0831"
"Bernardo Añor","CLB","2014","1801","2","0","0","0.7069","-0.7069","-0.7069","1","0","0.0665","-0.0665","0.7734","0","0.044"
"Javier Morales","RSL","2014","2848","1","1","0","0.1008","-0.0271","-0.1008","4","0","0.6403","-0.6403","0.7412","0","0.0363"
"Chris Rolfe","DCU","2014","1779","2","1","1","0.5887","0.3045","0.4113","1","1","0.1003","0.8997","0.6891","0.6659","0.2981"
"Bradley Wright-Phillips","NYRB","2014","2738","2","1","0","0.668","-0.35","-0.668","1","0","0.0175","-0.0175","0.6855","0","0.3867"
"Thierry Henry","NYRB","2014","2839","1","0","0","0.0175","-0.0175","-0.0175","2","1","0.6659","0.3341","0.6834","0","0.0087"
"Sebastián Fernandez","VAN","2014","2101","2","1","0","0.5198","0.2817","-0.5198","2","0","0.1584","-0.1584","0.6783","0","0.1257"
"Federico Higuaín","CLB","2014","2671","2","1","0","0.2181","0.4495","-0.2181","2","1","0.4186","0.5814","0.6367","0","0.0695"
"Andrés Escobar","FCD","2014","1711","1","1","0","0.2805","0.1169","-0.2805","2","0","0.3482","-0.3482","0.6287","0","0.218"
"Boniek García","HOU","2014","2367","0","0","0","0","0","0","2","0","0.6267","-0.6267","0.6267","0","0"
"Quincy Amarikwa","CHI","2014","2715","3","1","0","0.4872","-0.3474","-0.4872","1","0","0.1046","-0.1046","0.5918","0","0.4"
"Joao Plata","RSL","2014","2106","3","0","0","0.1037","-0.1037","-0.1037","2","0","0.4775","-0.4775","0.5813","0","0.0791"
"Benjamin Speas","CLB","2014","748","2","0","0","0.0611","-0.0611","-0.0611","1","1","0.5057","0.4943","0.5667","0","0.0296"
"Justin Meram","CLB","2014","1812","3","0","0","0.5583","-0.5583","-0.5583","0","0","0","0","0.5583","0","0.4083"
"Dom Dwyer","SKC","2014","2928","3","1","0","0.5265","-0.3601","-0.5265","0","0","0","0","0.5265","0","0.2066"
"Benny Feilhaber","SKC","2014","2821","1","0","0","0.2146","-0.2146","-0.2146","2","0","0.3116","-0.3116","0.5261","0","0.2668"
"Gershon Koffie","VAN","2014","1672","0","0","0","0","0","0","2","1","0.5059","0.4941","0.5059","0","0"
