"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Boniek García","HOU","0.5997","0.2697","-0.137","0.3867","-0.9131","-0.2568","-0.0508"
"Mika Väyrynen","LAG","-0.1036","0.2546","0.0116","-0.3478","-0.007","0.1409","-0.0513"
"Deshorn Brown","COL","-0.0183","-0.0015","-0.0091","0.0029","-0.0221","-0.005","-0.0531"
"Roy Miller","NYRB","0.0199","-0.0024","-0.1496","0.1019","-0.0009","-0.024","-0.0551"
"Kenny Cooper","MTL","-0.0472","-0.0013","-0.0036","0.0011","0.0041","-0.0089","-0.0558"
"Sebastián Saucedo","RSL","-0.0396","-0.0266","0.1288","0.1027","-0.0979","-0.1253","-0.0579"
"Mauro Manotas","HOU","-0.0504","-0.0194","-0.0252","-0.0152","0.1121","-0.0604","-0.0585"
"Ishmael Yartey","POR","0.2019","-0.0159","-0.0228","-0.1734","-0.056","0.006","-0.0602"
"Axel Sjöberg","COL","-0.0703","0.0573","-0.2722","-0.1124","0.224","0.1108","-0.0628"
"Romario Williams","MTL","-0.0521","-0.0062","0.0026","0.0037","-0.0055","-0.0059","-0.0634"
"Chris Duvall","NYRB","0.1241","0.0656","-0.1479","0.0863","-0.2542","0.0622","-0.0639"
"Matthew Dunn","NYC","-0.0259","0.0059","-0.0061","-0.0272","-0.0122","-0.0006","-0.0661"
"Jorge Villafaña","POR","0.1248","0.0785","-0.1202","0.1115","-0.255","-0.0075","-0.0679"
"Zach Steinberger","HOU","-0.0175","-0.0023","0.0144","-0.0215","-0.0275","-0.0154","-0.0698"
"Álvaro Saborio","DCU","-0.2737","-0.0798","-0.2529","-0.1471","0.6989","-0.0153","-0.0699"
"Krisztián Németh","SKC","-0.869","0.252","-0.4115","-0.8753","1.5905","0.2428","-0.0704999999999999"
"Taylor Hunter","HOU","-0.0055","0.0046","-0.0596","0.0089","-0.0216","-0.001","-0.0742"
"Oniel Fisher","SEA","-0.1531","-0.0213","0.452","-0.1974","-0.1332","-0.0214","-0.0744"
"Bakary Soumaré","MTL","-0.1131","-0.4471","0.6397","-0.1248","-0.0064","-0.0276","-0.0793"
"Victor Mansaray","SEA","0.0353","-0.0082","-0.0134","-0.0505","-0.0312","-0.0145","-0.0825"
"Blas Pérez","FCD","-0.3218","-0.1311","0.4544","-0.0497","-0.0369","0.0022","-0.0828999999999999"
"Tony Taylor","NYC","-0.0168","-0.0134","0.0008","0.0195","-0.0661","-0.0113","-0.0873"
"Sean Okoli","NER","0.037","0.0069","-0.0289","-0.0331","-0.0093","-0.0621","-0.0895"
"Chris Schuler","RSL","-0.1097","0.0489","0.1812","-0.0979","-0.1087","-0.0034","-0.0896"
"Ty Harden","SJE","-0.0054","0.0163","-0.0427","-0.014","-0.0293","-0.017","-0.0921"
"Kevan George","CLB","-0.1065","-0.0061","0.11","0.0625","-0.0945","-0.058","-0.0926"
"Shane O'Neill","COL","-0.0196","-0.0139","0.1865","-0.1563","-0.0869","-0.0078","-0.098"
